Hugo_Symbol,BAG1,BCL2,BIRC5,CCNB1,ERBB2,ESR1,GRB7,MKI67,MMP11,MYBL2,PGR
TCGA-A2-A0CV-01,1.3356,1.0044,-3.3297,-1.4057,-0.4012,0.4902,0.2646,-3.3996,-0.5755,-2.4811,0.795
TCGA-A2-A0CW-01,-0.9545,0.6244,1.6013,1.5982,0.0463,0.8013,0.015,0.4864,-1.0244,1.7511,0.7262
TCGA-A2-A0CX-01,-1.0731,-1.8238,0.2895,0.2462,2.4847,-1.1473,2.5724,0.543,0.62,0.9775,-0.94
TCGA-A2-A0CY-01,-0.0553,-2.3099,0.8894,0.1967,-0.5219,0.7771,0.667,0.1672,-0.9859,1.3011,-0.5681
TCGA-A2-A0CZ-01,-0.2607,0.014,-0.8595,-2.2944,-0.1816,-0.2325,-0.2497,-1.4588,1.3821,-1.5741,-0.1286
TCGA-A2-A0D0-01,-0.7494,-1.6995,1.8045,1.5529,-1.1239,-2.7693,-0.3819,1.3743,-2.2137,2.6095,-2.0221
TCGA-A2-A0D1-01,-0.4421,0.3451,-0.182,0.3127,2.2913,-1.8094,2.3549,0.9093,0.7945,0.9753,-1.4625
TCGA-A2-A0D2-01,-1.2591,-0.802,1.6852,1.7677,-0.83,-1.9857,0.0305,1.4162,-0.4217,2.2139,-0.8874
TCGA-A2-A0D3-01,1.5274,0.911,-2.3121,-1.6165,0.2682,0.5397,-0.0272,-2.3012,-0.7399,-2.1059,1.3302
TCGA-A2-A0D4-01,0.6051,0.206,1.0262,1.3002,0.2128,0.4957,0.3005,0.1907,-0.4806,0.581,-0.3081
TCGA-A2-A0EM-01,0.7858,1.1849,-0.5739,-0.8384,-0.1196,0.7294,-0.6583,-0.7814,0.253,-1.0078,1.5468
TCGA-A2-A0EN-01,-0.1747,-0.3685,-1.0907,-1.0123,-0.1469,0.4121,-0.7097,-0.6891,0.3142,-0.8544,-0.7945
TCGA-A2-A0EO-01,0.4427,0.45,-0.8288,-0.6358,0.4289,0.3719,0.3087,-0.6683,1.0847,-1.2962,1.3038
TCGA-A2-A0EP-01,-0.1624,-0.3367,-1.0659,-0.8968,-1.184,-0.121,-1.1989,-0.4519,-0.4778,-0.131,-0.9146
TCGA-A2-A0EQ-01,0.1555,0.6465,0.9473,0.6145,-0.2469,-0.7769,-0.0758,1.5543,-1.0403,1.2147,-1.5255
TCGA-A2-A0ER-01,3.5429,1.4705,-0.1803,0.5694,-0.1308,0.962,-0.2748,0.6805,-1.2067,-0.5987,0.3519
TCGA-A2-A0ES-01,-0.2742,0.8067,-1.172,-1.4682,0.02,0.3533,0.0877,-1.0783,-1.5793,-1.5035,1.193
TCGA-A2-A0ET-01,0.0279,1.0941,-0.5903,-0.0746,0.0231,0.8048,0.6092,-0.3249,-1.9613,-1.5182,0.6715
TCGA-A2-A0EU-01,0.1368,0.6414,0.0072,0.4046,-0.3096,0.785,-0.1123,-0.4427,0.4416,0.2361,1.4334
TCGA-A2-A0EV-01,-0.4967,0.4237,0.4126,0.0266,0.4676,0.6413,0.0327,-0.1446,0.9138,-0.0718,1.254
TCGA-A2-A0EW-01,-0.7171,0.3596,-1.423,-1.641,-0.1233,0.4419,-0.4676,-0.8824,0.0233,-1.374,0.642
TCGA-A2-A0EX-01,-0.0132,0.6445,-1.3823,-1.1636,0.5316,0.1269,-0.0523,-1.3606,0.3095,-1.4071,0.9928
TCGA-A2-A0EY-01,0.2401,-0.9986,-0.1185,-0.4098,2.4383,0.3214,2.0149,0.4686,-1.4672,0.9971,-1.0898
TCGA-A2-A0ST-01,-0.3927,0.3659,0.2089,0.1887,-0.5901,-0.4374,-0.1573,0.8452,-1.6336,0.7978,-0.4685
TCGA-A2-A0SU-01,1.1254,1.1272,0.6053,-0.2703,0.181,1.1082,0.0435,-0.3497,-0.4211,-0.679,0.4256
TCGA-A2-A0SV-01,-1.135,-1.1402,0.788,1.363,-0.169,-0.176,-0.446,0.031,1.9004,0.8267,0.1776
TCGA-A2-A0SW-01,-0.4466,-0.6318,0.6433,0.6838,-1.7477,0.4911,-1.7462,0.9547,0.1063,1.1891,0.3341
TCGA-A2-A0SX-01,-0.6608,-0.1913,-0.2365,-0.1296,-0.6268,-1.1964,0.0897,1.7628,0.2453,0.7745,-0.9264
TCGA-A2-A0SY-01,0.1039,0.9234,-0.3331,-0.3624,1.1252,0.5662,0.6847,-0.2691,0.4227,-0.4711,0.9132
TCGA-A2-A0T0-01,-0.9185,-2.1341,1.333,0.2302,-0.8289,-1.641,-0.1944,0.2675,1.3124,1.1508,-1.3427
TCGA-A2-A0T1-01,-0.2236,-1.0896,0.1035,-0.1205,2.823,-1.9075,3.0046,0.4056,0.8438,0.7094,-1.2332
TCGA-A2-A0T2-01,-0.4286,-1.8315,-0.0215,0.2595,-0.7188,-1.9196,-0.0781,-0.1021,0.0879,0.5138,-1.472
TCGA-A2-A0T3-01,0.2734,1.0361,1.4809,0.963,-0.2317,0.6166,-0.2904,0.719,0.3231,1.2408,1.2502
TCGA-A2-A0T4-01,0.8557,0.2733,0.2799,0.7562,0.016,0.7935,-0.353,0.7985,0.0162,0.3342,1.0249
TCGA-A2-A0T5-01,1.3849,0.811,-0.1726,-0.0694,0.1972,0.3219,0.1819,-0.4797,-0.3691,0.0134,1.1695
TCGA-A2-A0T6-01,-0.4307,0.2498,-2.0828,-1.3808,0.4045,-0.0583,-0.325,-1.4447,0.506,-1.8335,0.8718
TCGA-A2-A0T7-01,-0.819,-0.3844,-0.3686,0.1333,-0.0855,-0.101,0.1384,0.448,1.1428,-0.0001,0.0787
TCGA-A2-A0YC-01,0.0142,1.0317,-0.1875,-0.5048,0.5748,0.786,0.0076,-0.2642,0.9269,-0.5468,1.498
TCGA-A2-A0YD-01,-0.5765,0.5823,-0.9763,-1.5525,-0.2438,0.6616,-0.3136,-0.3802,0.7587,-0.7308,1.138
TCGA-A2-A0YE-01,-2.734,-1.5088,1.0584,1.5031,-0.3351,-2.4882,-0.6215,0.5537,-0.6314,1.7726,-1.3434
TCGA-A2-A0YF-01,3.0492,1.2828,0.1516,0.1439,-0.1766,1.1136,-0.2427,0.7137,-1.2376,-0.7113,0.4579
TCGA-A2-A0YG-01,-1.7439,-1.0582,1.3546,1.202,2.6541,0.5327,2.223,1.1563,-0.4909,1.1677,-0.942
TCGA-A2-A0YH-01,-0.4895,-0.5028,0.3879,0.7913,-0.1269,0.5669,-0.4533,0.5787,-0.0454,0.6551,0.0115
TCGA-A2-A0YI-01,-0.1558,0.869,-1.8498,-1.9201,-0.2697,0.8446,-0.9317,-1.3268,-0.6525,-1.7714,0.8399
TCGA-A2-A0YJ-01,-0.8303,-3.1271,0.7506,0.4054,1.7196,-2.2676,2.2115,0.621,-0.0902,1.226,-1.7213
