Hugo_Symbol,BAG1,BCL2,BIRC5,CCNB1,ERBB2,ESR1,GRB7,MKI67,MMP11,MYBL2,PGR
TCGA-A8-A07E-01,-0.2889,0.0166,0.0935,0.3609,-0.7076,0.6841,-1.1104,1.2845,0.4665,0.5381,-0.2412
TCGA-A8-A07F-01,-0.2608,0.4823,-0.5772,-0.6865,-0.3667,0.4595,-0.604,0.5508,0.9342,-0.4904,2.2045
TCGA-A8-A07G-01,-0.6929,-0.0437,-0.5997,-0.322,0.461,0.9516,-0.8894,-0.7102,0.9518,-1.0057,0.4413
TCGA-A8-A07I-01,0.3433,0.3955,0.0773,0.664,2.5812,0.6693,2.6015,0.8164,1.4824,0.5591,-0.9491
TCGA-A8-A07J-01,-1.1253,0.4542,-1.4589,-1.5491,-0.0251,0.1524,-0.8476,-0.8387,0.5253,-1.3545,0.6368
TCGA-A8-A07L-01,0.2674,0.0425,1.4044,1.6936,-0.1752,1.2346,-0.6994,0.9955,0.8935,1.1499,0.2118
TCGA-A8-A07O-01,-0.1419,-0.6909,1.6331,1.2104,-0.9949,-0.9068,0.1837,1.3282,-1.2086,1.2337,-0.9883
TCGA-A8-A07P-01,1.575,1.7639,0.4494,0.0595,1.2678,1.0269,0.3663,-0.564,0.1529,-0.5234,0.4446
TCGA-A8-A07R-01,-1.2597,-2.84,1.8471,1.4451,-0.3031,-2.4417,0.0201,1.6594,-0.3838,1.4783,-1.8945
TCGA-A8-A07S-01,0.9337,0.8987,0.3481,0.1434,-0.104,0.8455,-0.9526,0.4648,0.632,-0.1283,0.17
TCGA-A8-A07U-01,-0.1589,-0.9125,0.4907,0.2902,-0.2105,-0.9713,-0.1932,1.4369,0.4358,1.3443,-0.8595
TCGA-A8-A07W-01,-0.6393,-0.4262,0.8446,1.0425,-0.2268,1.0495,0.0086,0.9715,-0.1377,1.3684,0.8385
TCGA-A8-A07Z-01,1.4974,1.0818,-0.1056,0.7049,-0.0849,0.7061,-0.4478,0.0904,-0.412,0.0428,0.9719
TCGA-A8-A081-01,-0.0901,-0.3282,0.0646,-0.0344,0.602,0.8672,0.3721,1.3331,-1.6884,1.0148,-1.476
TCGA-A8-A082-01,0.4862,-0.1638,0.1647,0.451,-0.4513,0.4611,0.4522,1.0824,1.0976,-0.0055,0.8109
TCGA-A8-A083-01,0.8941,1.1815,-2.0471,-0.8893,0.1887,1.1849,-0.3377,-2.1405,-1.3119,-2.3734,0.6115
TCGA-A8-A084-01,0.3073,-0.6224,0.1157,0.7806,-0.3322,0.6699,-0.7653,0.4717,1.4255,0.4514,-1.2259
TCGA-A8-A085-01,-0.4367,1.3815,0.4969,-0.5581,0.0863,0.7833,0.0707,0.7701,0.5692,0.5304,-1.3938
TCGA-A8-A086-01,-0.162,1.1191,0.3009,0.1437,-0.6046,0.7452,-0.2192,0.2997,1.5054,0.2972,1.6018
TCGA-A8-A08A-01,0.9986,0.4948,-0.6408,-0.7519,0.1116,0.8434,-0.4263,-0.5697,0.9582,-0.7282,0.913
TCGA-A8-A08B-01,0.1291,-2.1103,0.1036,1.2644,2.3853,0.1143,2.6655,0.8343,0.5025,0.743,-0.3973
TCGA-A8-A08C-01,1.2056,1.7545,-0.7085,-0.9989,-0.0599,1.0492,-0.4622,-0.3913,-0.1002,-1.1991,-0.7449
TCGA-A8-A08F-01,-1.2922,-0.4666,1.3048,-0.0919,-0.2121,0.764,-0.307,1.1873,0.735,1.3015,-0.1496
TCGA-A8-A08G-01,-0.0476,0.9022,0.4362,0.3844,0.1542,0.7877,-0.4501,0.5431,0.817,0.6911,0.3061
TCGA-A8-A08H-01,-0.3609,-0.6028,0.1718,0.1766,-1.2397,-0.1435,-1.396,0.5608,-1.2419,-0.1352,0.1556
TCGA-A8-A08I-01,-0.6109,1.0657,-0.2081,0.3508,-0.8677,1.1143,-0.9115,0.7783,-1.5874,0.2198,1.054
TCGA-A8-A08J-01,-0.8733,-0.7499,0.2201,0.217,2.5993,-0.043,2.711,0.2208,0.6999,0.409,0.0961
TCGA-A8-A08L-01,-1.7756,0.0461,1.1311,0.2777,0.306,-0.1915,0.5349,1.0929,0.1508,1.11,-1.7428
TCGA-A8-A08O-01,-0.134,1.6728,-0.6117,0.0892,0.2866,0.2685,-0.281,0.4143,1.0844,-0.5415,0.8703
TCGA-A8-A08P-01,-0.7445,-0.4267,0.3554,0.7201,0.3613,0.3472,0.1403,0.2691,0.443,0.5665,0.0509
TCGA-A8-A08R-01,-1.5848,-1.062,1.3204,0.2764,0.2378,-1.9139,0.7681,1.2067,0.2336,1.1488,-1.1146
TCGA-A8-A08S-01,0.0198,1.1695,-0.0756,0.5244,1.6265,0.8234,1.8167,0.9774,0.7583,0.0029,0.3724
TCGA-A8-A08T-01,0.2834,1.618,-0.5937,-1.4615,0.0188,0.7447,0.0644,-0.2552,0.1953,-0.9277,0.0888
TCGA-A8-A08X-01,0.2315,-1.104,0.7371,0.1882,2.8953,-1.3572,1.2655,1.081,1.2252,1.5842,-0.8167
TCGA-A8-A08Z-01,-0.7593,-0.0584,-0.6027,-0.5721,-0.2381,0.2342,-0.5635,-0.1076,1.044,-0.7072,1.1395
TCGA-A8-A090-01,-1.1606,0.2313,0.3284,0.1474,0.3709,0.927,-0.4725,0.5444,0.979,0.0469,1.0815
TCGA-A8-A091-01,1.5624,1.4609,-0.7848,-0.929,-0.0036,0.7978,0.0139,0.0474,-0.0793,-1.0084,-1.1006
TCGA-A8-A092-01,-1.2741,-0.9471,1.0449,1.374,0.3826,0.146,0.1277,1.4205,0.3703,1.2758,0.9705
TCGA-A8-A093-01,-0.0773,1.0989,-0.2796,-0.0538,0.2714,0.9156,0.1355,-0.1417,0.9521,-0.4595,1.1502
TCGA-A8-A094-01,-0.9188,-1.3089,0.1977,0.9328,-0.5097,-0.4103,-0.9067,1.1271,0.706,1.1377,-0.2635
TCGA-A8-A095-01,-0.9261,0.0645,0.0649,0.685,-0.4694,0.7106,-0.8918,0.9553,0.1443,0.3136,1.0665
TCGA-A8-A096-01,-0.3401,0.8159,-0.2102,-0.3778,-0.2716,0.7071,-0.3917,0.6485,1.1888,-0.8173,-0.1832
TCGA-A8-A097-01,-1.1715,-0.2013,0.6573,0.2725,1.3513,0.6559,1.0556,0.223,1.3436,-0.2161,0.7801
TCGA-A8-A099-01,0.3014,0.8535,-1.343,-1.0945,0.1964,1.0406,-0.8572,-0.6094,0.0409,-1.4708,0.9858
TCGA-A8-A09A-01,0.1086,-0.0252,-0.1182,-1.5162,0.7946,0.5544,-0.1843,0.0232,0.4469,-0.2955,-0.0801
TCGA-A8-A09B-01,-0.906,0.6739,-1.0165,-0.0711,0.1718,0.9258,-0.1738,-0.2476,0.7477,-0.3909,1.6885
TCGA-A8-A09C-01,-1.4609,0.0295,0.021,0.0504,-0.4388,0.9083,-0.6191,0.2712,0.6797,0.2256,1.2861
TCGA-A8-A09D-01,-0.6038,0.018,0.4426,0.6952,-0.539,0.0113,-0.8443,0.5074,0.8708,-0.1879,-0.6312
TCGA-A8-A09E-01,-0.6202,-0.345,0.3212,0.8399,0.5171,0.8439,0.5786,-0.1343,-0.3759,-0.2583,0.9882
TCGA-A8-A09G-01,-0.4189,-1.538,0.3423,0.903,1.7634,-0.8064,1.4965,0.9214,-1.4225,0.5785,-1.4039
TCGA-A8-A09I-01,0.0007,-0.1887,0.656,1.4238,3.0445,0.3053,1.571,1.3064,0.8172,1.071,-1.3865
TCGA-A8-A09K-01,0.5878,0.8172,0.5344,-1.0979,-0.025,1.1329,0.3807,0.0538,-0.7107,-0.4341,-0.1754
TCGA-A8-A09M-01,-0.4145,0.7294,0.7645,0.0032,-0.0572,0.7763,-0.4381,0.1817,0.5538,0.6237,0.4602
TCGA-A8-A09N-01,-0.7409,-0.4357,-0.1563,0.8641,-0.4952,0.7767,-1.0193,1.07,0.8136,0.5473,0.378
TCGA-A8-A09Q-01,-0.9042,-0.5633,0.2267,0.9249,-0.6733,0.9283,-0.3529,0.6518,0.1337,0.1414,1.086
TCGA-A8-A09R-01,-0.3556,-0.0615,0.0692,0.4463,0.4214,0.3701,0.0323,0.3106,1.1352,0.0833,-0.5295
TCGA-A8-A09T-01,-0.2314,0.7503,-0.6354,-0.019,-0.242,0.549,-0.4596,-0.3379,0.7588,-0.3374,1.4845
TCGA-A8-A09V-01,-0.1483,1.1607,-0.854,-0.5632,-0.2261,0.5038,-0.0924,0.2339,-0.3042,-1.4973,1.4063
TCGA-A8-A09W-01,0.2143,-1.3202,1.4806,1.4236,-0.0906,0.5789,-0.47,2.1118,-0.6407,0.354,-1.0713
TCGA-A8-A09X-01,0.6607,-1.3157,0.8757,1.4252,-0.1993,-1.5946,-0.6759,1.5159,-0.0799,0.9609,-1.2411
TCGA-A8-A09Z-01,0.7528,0.1529,-0.4429,-1.4021,0.2975,0.5249,0.7987,-0.1255,-1.1691,-1.1169,-2.1091
TCGA-A8-A0A1-01,-0.6917,0.4618,-0.6193,0.0478,-0.2729,0.9119,-0.5449,0.1672,0.404,-0.6841,0.4155
TCGA-A8-A0A2-01,-0.0389,1.0354,-0.7979,-0.4673,-0.064,0.9348,-0.4555,-0.6196,0.2948,-1.0557,1.0334
TCGA-A8-A0A4-01,-0.0363,0.5573,-0.1641,0.6611,0.1508,0.4654,-0.3446,0.5525,-1.3047,-0.1725,0.7408
TCGA-A8-A0A6-01,-0.4422,0.2725,-1.2808,-0.864,0.3286,0.1867,0.1266,-1.1437,-0.0761,-1.2145,0.2324
TCGA-A8-A0A7-01,-1.523,-0.4313,0.2081,0.1376,1.8729,-0.6927,1.6303,0.0088,-0.9862,0.613,-0.3443
TCGA-A8-A0A9-01,-0.4561,0.3954,-0.3596,0.9769,0.2251,0.8756,0.6373,0.3726,0.9738,0.0584,0.9283
TCGA-A8-A0AB-01,-0.9843,0.9406,0.1012,0.0034,0.5152,1.0057,0.1927,0.3353,0.4152,-0.1111,0.8371
TCGA-A8-A0AD-01,1.7984,1.0615,-0.7347,-0.5467,0.354,0.9462,-0.8065,-0.855,0.9194,-0.2872,1.146
TCGA-AC-A23C-01,-0.2474,1.6574,-0.4585,-0.1635,1.5271,0.9417,0.9607,-0.3249,0.4474,-0.628,-0.1691
TCGA-AC-A23E-01,-0.3047,0.5055,-0.6162,-0.6062,-0.2376,0.162,-0.6448,-0.1506,1.2077,-0.9041,1.097
TCGA-AC-A23G-01,-0.4355,-0.2724,-0.7941,-0.9662,-0.1747,0.185,-0.1908,-0.7446,0.8685,-0.7617,0.9169
TCGA-AC-A23H-01,-0.6952,-1.121,0.143,0.4148,2.3379,-1.1261,2.1421,0.6635,-0.3982,0.6336,-1.3156
TCGA-AC-A2B8-01,-0.269,0.339,-0.9908,-1.3354,-0.2647,0.2245,-0.5454,-0.3768,0.3967,-1.1377,1.3727
TCGA-AC-A2BK-01,0.8896,-0.8527,1.3285,0.8222,-1.5794,-2.7006,0.1596,1.1823,-2.2122,0.7319,-1.919
TCGA-AC-A2BM-01,0.8339,1.2836,-0.365,0.1693,-0.9708,0.186,-0.4304,0.0947,-0.0791,0.2454,0.8486
TCGA-AC-A2FB-01,0.4781,1.0337,-0.6854,-1.1761,2.1411,0.1537,2.033,-0.3882,-1.1041,-0.6541,0.652
TCGA-AC-A2FE-01,0.091,0.5556,-0.5989,-0.5819,0.0733,0.1244,-0.2127,-0.6593,0.4708,-0.6556,0.1929
TCGA-AC-A2FF-01,-1.1083,0.5028,-0.6631,-0.5952,0.2463,-0.4378,-0.5702,-0.1147,-0.695,-0.5079,0.8648
TCGA-AC-A2FG-01,-0.2287,0.4661,-1.5167,-1.8761,0.0916,0.9049,-0.294,-1.6738,-1.4449,-1.7813,-0.0281
TCGA-AC-A2FK-01,-0.4633,0.5266,-2.305,-2.3967,0.2377,-0.5036,0.4828,-1.9895,-2.7767,-2.4871,1.0
TCGA-AC-A2FM-01,1.4235,0.4276,-0.2144,0.0186,0.9857,0.9593,1.064,-0.1263,-0.6268,0.1184,-0.0501
TCGA-AC-A2FO-01,-0.1403,0.7536,-0.9995,-1.2637,0.3947,0.7703,-0.0736,-1.3652,-0.7678,-1.5155,-0.2768
TCGA-AC-A2QH-01,-1.0866,-0.9358,1.2943,0.7624,-1.8503,-2.3663,-5.1825,0.9478,-0.9406,0.7295,-1.9474
TCGA-AC-A2QI-01,0.2623,0.4518,-1.9827,-1.7948,0.4331,0.4537,-0.0936,-2.0477,1.3508,-1.6462,-0.7158
TCGA-AC-A2QJ-01,-0.0662,-2.2989,1.5184,0.5972,-1.2033,-2.0293,-2.0581,-0.2535,2.2885,1.106,-2.6403
TCGA-AC-A3BB-01,-0.0495,-0.3119,-1.2367,-1.3841,-0.1101,-0.1169,-0.2858,-1.6549,0.882,-0.8207,0.6431
TCGA-AC-A3EH-01,0.1772,-0.2684,-0.5578,-0.4228,0.7684,0.4593,0.7342,-0.8053,0.7489,-0.627,-1.1782
TCGA-AC-A3HN-01,-0.6902,0.0908,-0.8324,-0.5129,0.1798,0.617,-0.2899,-0.2126,1.1408,-0.6642,0.0244
TCGA-AC-A3OD-01,0.6997,0.6245,-0.7153,-0.0399,0.0007,1.1311,-0.5544,0.0571,-0.0987,0.546,1.1014
TCGA-AC-A3QP-01,1.3414,0.0829,-1.4584,-1.1062,0.213,-0.4508,0.3955,-2.2925,0.3829,-0.9814,0.3799
TCGA-AC-A3QQ-01,1.6018,-0.3428,1.2318,0.0576,3.0454,0.3176,3.2817,-0.387,1.0349,1.2079,0.2281
TCGA-AC-A3TM-01,1.1378,-0.1159,0.772,0.454,0.2134,-0.0858,0.4529,0.2298,0.8811,0.6019,0.9653
TCGA-AC-A3TN-01,0.6253,0.4184,-0.6574,-1.4329,0.5527,0.81,0.3891,-1.9158,0.2211,-0.9319,0.5263
TCGA-AC-A3W5-01,-0.0962,-1.0091,-0.2974,-0.0351,3.046,-0.8088,2.8738,0.1888,1.8607,0.3843,-0.6061
TCGA-AC-A3W6-01,-0.1507,-0.4023,-0.4703,-0.2728,-0.6626,0.4111,-0.7713,-0.4759,1.3388,0.0284,-0.7702
TCGA-AC-A3W7-01,0.8784,-0.1695,-1.0622,-0.9509,0.0655,0.5822,0.1219,-0.2219,0.4886,-0.9727,0.229
TCGA-AC-A3YI-01,0.0565,-0.2354,-1.9488,-2.0419,0.4499,-0.3282,0.6747,-1.7958,-0.1031,-1.4438,-0.3297
TCGA-AC-A3YJ-01,1.1855,0.8976,-0.7384,-0.9384,-0.079,0.6354,-0.2781,-1.3189,-0.7111,-1.1576,1.2538
TCGA-AC-A4ZE-01,1.3579,0.89,-0.2535,-0.4689,0.2048,0.8409,0.2801,-0.1865,-0.8405,-0.6158,0.8657
TCGA-AC-A5EH-01,0.1898,-1.6923,0.0727,0.7373,-0.1508,-0.8304,-0.3573,-0.2948,1.1041,0.6896,-1.1996
TCGA-AC-A5XS-01,1.0317,-0.0811,-0.0248,0.0565,-0.2427,0.3007,0.0039,-0.748,-1.0073,0.1048,0.018
TCGA-AC-A5XU-01,1.2086,1.4425,0.5718,0.82,-0.4106,0.673,0.1768,-0.1316,0.0502,-0.12,0.8354
TCGA-AC-A62V-01,1.2833,-1.6964,1.8973,1.0055,-0.2285,0.4211,-0.0105,-0.1354,1.4622,0.6148,-1.1568
TCGA-AC-A62X-01,0.4497,-2.464,1.1814,0.647,-0.3195,-2.0144,0.5619,-0.3391,-2.0581,0.7773,-1.8521
TCGA-AC-A62Y-01,0.9885,0.547,-0.5948,-0.3135,-0.5601,0.9545,-0.7508,-1.5408,0.1949,-0.2881,1.2297
TCGA-AC-A6IV-01,-0.3169,0.5365,-0.0397,-0.6538,-0.1018,0.1886,0.1119,-0.046,0.6656,0.3153,0.44
TCGA-AC-A6IW-01,-0.0209,-0.8592,1.6157,1.8975,-1.1966,-1.5042,-0.1069,0.5766,-1.2748,0.8841,-1.3259
TCGA-AC-A6IX-01,1.3519,-0.0721,-0.2325,-0.688,-0.3104,0.2753,-0.57,-0.1842,0.3284,-0.3127,-0.5416
TCGA-AC-A6NO-01,1.5491,0.7618,-0.057,-0.3305,0.2586,0.2719,0.4084,-0.2526,-0.4809,0.4893,0.968
TCGA-AC-A7VB-01,1.4538,0.5477,0.9843,0.717,1.1923,0.8678,0.645,0.5605,-0.3603,-0.0454,-1.415
TCGA-AC-A7VC-01,-0.1153,-1.846,0.6049,0.4381,-1.6569,-1.9352,-4.446,0.4647,-0.2594,0.8235,-0.8403
TCGA-AC-A8OP-01,0.8162,-0.6145,-0.1141,-0.9097,0.3514,0.8137,0.0311,-0.2501,0.0119,-0.0448,-0.7389
TCGA-AC-A8OQ-01,0.0093,-1.1689,0.8054,0.8963,-0.3592,-1.545,0.2884,0.6925,0.2116,1.4193,-1.1089
TCGA-AC-A8OR-01,1.3816,-0.1735,-1.3435,-0.8421,-0.6428,0.7595,0.8766,-1.1752,-1.5015,-0.8936,0.9042
TCGA-AC-A8OS-01,-0.2118,0.0337,-1.5911,-1.4331,-0.4564,0.9467,-1.0016,-0.776,-0.591,-1.1432,-0.1321
TCGA-AN-A03X-01,-1.0635,-0.5232,0.0442,-0.2653,0.0649,0.6791,-0.5283,-0.5157,1.1501,-2.0406,0.8835
TCGA-AN-A03Y-01,-1.2374,0.5908,0.2054,2.0285,-0.5029,0.7454,-0.3903,0.1521,0.0342,-0.0487,1.2177
TCGA-AN-A041-01,-0.3344,1.3856,0.1507,-1.0817,0.7918,0.3842,0.6753,0.2483,0.8324,0.9026,-0.8824
TCGA-AN-A046-01,0.9859,1.1001,-0.2219,0.2505,-0.0439,0.8206,-0.7636,-0.0103,0.841,-0.1614,1.512
TCGA-AN-A049-01,-0.5118,1.0219,0.3623,0.4134,0.6266,1.0162,0.6655,0.6334,1.1736,0.2219,0.8315
TCGA-AN-A04A-01,-0.3845,1.9045,-0.5259,-0.3131,-0.7042,0.2281,-0.7541,0.2109,1.2529,-0.2477,0.0763
TCGA-AN-A04C-01,-0.7321,-2.3634,0.9877,0.6958,2.8969,-0.7704,2.7058,0.7743,-1.559,1.0678,-1.4864
TCGA-AN-A04D-01,-0.7368,-0.6025,1.9499,1.0413,-0.6178,-2.3187,-0.3574,1.4368,-1.1951,0.8834,-1.7631
TCGA-AN-A0AJ-01,-1.3856,-0.9354,1.1209,2.6035,-0.3107,0.6128,-0.3649,0.781,0.8716,1.0314,1.1753
TCGA-AN-A0AK-01,0.2104,-0.197,1.0347,1.5363,0.2997,0.6181,-0.5925,1.0951,-0.2557,1.1955,-1.3544
TCGA-AN-A0AL-01,-1.076,-1.4563,1.3327,0.6392,-1.0667,-1.7448,-1.011,1.6137,0.8007,1.6466,-0.8912
TCGA-AN-A0AM-01,-0.9863,-0.3571,3.12,1.2968,-1.031,0.8675,-1.6396,0.4073,0.5859,1.2401,-1.184
TCGA-AN-A0AR-01,1.0797,0.0653,1.6558,0.9981,-1.2124,-1.6948,-0.5883,1.289,-0.5375,0.655,-1.9924
TCGA-AN-A0AS-01,0.1256,-0.7463,-0.4013,-0.2677,-0.6419,0.1254,-0.0473,0.093,1.2681,-0.3267,-0.9725
TCGA-AN-A0AT-01,-0.6639,-1.528,1.4928,1.5898,-1.4175,-2.2735,0.1139,1.1403,-1.5265,2.0507,-1.9546
TCGA-AN-A0FD-01,-0.9046,1.3423,0.092,0.0946,-0.6338,0.8799,-0.0906,0.1473,1.1783,0.3339,-0.1608
TCGA-AN-A0FF-01,1.555,0.7346,0.0703,0.2951,-0.4837,0.3264,-0.9528,0.6452,0.072,-0.2124,0.3739
TCGA-AN-A0FJ-01,-0.7124,0.9474,0.8056,0.7242,-1.0372,-2.3736,-1.0614,1.4899,-0.5894,0.6558,-1.5723
TCGA-AN-A0FK-01,0.5663,0.8708,-0.1902,0.3712,-0.4317,1.0683,-0.0137,0.0823,0.2614,-0.2571,1.267
TCGA-AN-A0FL-01,0.473,-2.969,0.9849,-0.784,-0.8395,-2.2054,-0.4478,-0.0392,-1.1211,0.4917,-0.1285
TCGA-AN-A0FN-01,-0.3367,0.3653,-0.6842,-1.0472,-0.6936,0.3059,-1.6848,-0.6009,1.3821,-0.8121,-0.116
TCGA-AN-A0FS-01,-0.0993,0.7288,-1.0302,-1.1026,0.0595,0.904,-0.2628,-0.9242,0.2251,-1.0943,-0.1545
TCGA-AN-A0FT-01,0.9181,-0.9656,-0.5729,-1.6303,3.0685,0.258,2.4727,-1.2458,0.3407,-0.8701,0.172
TCGA-AN-A0FV-01,0.0352,-1.354,0.5758,-0.2815,3.067,-1.2236,3.1242,0.0895,1.2742,0.362,-1.206
TCGA-AN-A0FW-01,0.3026,1.2963,0.0592,0.8595,-0.953,0.914,-1.2493,-0.0484,-0.3317,0.862,0.5634
TCGA-AN-A0FX-01,-0.4957,-0.1556,0.2659,-0.0526,-0.4872,-1.0668,0.3993,0.99,0.7302,0.7418,-0.3849
TCGA-AN-A0FY-01,1.9379,0.7345,0.5553,0.7386,-0.6777,0.5786,-0.0372,0.8718,1.6719,2.4886,1.3993
TCGA-AN-A0FZ-01,-0.13,0.1441,-0.2567,-0.6257,0.4559,0.5005,0.1516,-0.3479,0.3294,-0.0786,-1.0193
TCGA-AN-A0G0-01,-0.9233,-2.5627,0.8619,1.0152,-0.2802,-2.7897,0.0644,-1.131,-0.5268,1.4141,-1.6479
TCGA-AN-A0XL-01,-0.7116,0.2479,-0.514,-0.5795,0.2824,0.6657,0.1535,-0.423,-1.065,-0.5695,0.4482
TCGA-AN-A0XN-01,-1.1607,0.316,-0.1494,-1.1221,-1.0798,0.0241,-0.8992,-0.1097,1.474,-0.5415,1.6578
TCGA-AN-A0XO-01,0.2505,1.0779,-0.2272,0.4662,0.2504,0.8155,0.0078,-0.1531,0.4788,-0.3459,1.1847
TCGA-AN-A0XP-01,-0.1658,0.1597,-1.0966,-0.9663,0.1584,1.1132,-0.584,-0.8757,0.6459,-0.8729,0.9627
TCGA-AN-A0XR-01,0.799,0.0303,0.8891,0.5829,-0.8397,0.9591,-1.0655,0.5768,0.9951,-0.2056,0.07
TCGA-AN-A0XS-01,-1.0261,1.0892,-1.1,-0.7526,-0.0874,0.5987,-0.1172,-0.8393,1.1164,-1.2689,1.4936
TCGA-AN-A0XT-01,1.4716,1.8993,-1.0942,-0.8345,-0.6071,1.1474,-0.0762,-0.855,-0.8041,-1.1532,-0.2521
TCGA-AN-A0XU-01,-0.9439,-1.7944,1.5521,0.8776,-0.3635,-0.7145,0.0306,1.4211,-0.6926,1.0809,-1.8455
TCGA-AN-A0XV-01,0.0839,1.1635,-0.402,0.2205,-0.6003,0.9842,-0.5059,-0.0695,0.5002,-1.1138,0.3146
TCGA-AN-A0XW-01,-1.1346,0.3873,-0.1561,1.1041,-0.5563,0.0773,-0.754,0.3138,1.2708,0.4919,0.5003
TCGA-AO-A03L-01,0.5009,0.2822,1.0676,1.3561,0.3505,0.066,0.7702,1.2711,0.2386,0.931,-0.1078
TCGA-AO-A03M-01,-0.9301,0.5528,0.4495,0.3209,0.5273,-0.0735,-0.0447,0.4887,0.7141,1.4334,0.5393
TCGA-AO-A03N-01,-0.4731,-1.3061,0.4274,0.9962,-0.741,0.1698,-0.9559,-1.0231,0.3411,0.4868,-0.9557
TCGA-AO-A03O-01,-0.8165,-0.407,0.2808,0.9549,-0.2939,0.7028,-0.4472,1.0925,-1.0552,1.0119,0.5544
TCGA-AO-A03P-01,1.4193,2.0804,0.4911,0.3629,-0.0285,0.8157,-0.3285,-0.4861,0.08,0.8529,0.6575
TCGA-AO-A03R-01,0.2496,0.2079,1.3017,1.6664,-1.4858,0.6091,-0.5241,1.2984,-2.1073,0.4557,-0.1628
TCGA-AO-A03T-01,0.0719,0.5717,1.2963,0.8145,-0.4567,0.18,-0.8111,-0.0894,-0.2113,0.3562,0.0204
TCGA-AO-A03U-01,-0.0893,-1.1002,-1.0226,-1.6956,-0.6641,-1.4313,0.0666,-0.2667,-0.022,-1.2632,-1.0469
TCGA-AO-A03V-01,-0.797,1.021,-1.2816,-0.2962,-0.3881,0.2188,-0.6409,0.3215,0.326,-0.8863,0.9317
TCGA-AO-A0J2-01,0.1499,-2.6223,1.6257,1.1785,0.0911,-1.5299,0.1858,1.3769,0.2709,1.2899,-1.6587
TCGA-AO-A0J3-01,1.614,0.8995,-0.2924,0.455,-0.8553,0.8401,-0.3868,0.2701,-1.2655,0.1018,0.3488
TCGA-AO-A0J4-01,-1.4974,-1.2672,0.6711,0.608,-0.6902,-2.0703,0.1353,1.2744,-0.0117,0.8409,-1.2504
TCGA-AO-A0J5-01,-0.2013,-0.1785,-1.156,-0.7275,-0.1362,0.4869,-0.3674,0.3258,0.1754,-0.2782,-0.942
TCGA-AO-A0J6-01,-0.9519,-1.3782,1.5748,0.6373,-0.6592,-1.306,0.108,0.9842,-0.2272,0.8407,-2.2462
TCGA-AO-A0J7-01,-0.1107,0.4783,0.4271,1.2637,-0.0345,0.9271,-0.2702,0.7327,1.0156,0.7891,0.339
TCGA-AO-A0J8-01,-0.8126,0.1241,-0.6506,-0.6587,0.2319,0.7199,-0.4563,-0.3439,0.8939,-0.9607,0.8601
TCGA-AO-A0J9-01,0.0303,0.1966,-0.2864,0.3298,-0.9787,0.4251,-1.1972,0.2,0.5685,0.2218,0.3894
TCGA-AO-A0JA-01,-1.3803,-0.081,0.3316,0.5726,-0.4541,0.3247,-0.6697,0.3606,0.2878,0.0649,0.0766
TCGA-AO-A0JB-01,0.656,-0.4518,1.3103,-0.6906,-0.6442,0.1267,-0.4084,-0.1441,-0.698,0.8621,0.1267
TCGA-AO-A0JC-01,-0.9134,0.7226,-0.4644,-0.3353,-1.9821,0.0579,-2.3859,0.1223,-1.8313,0.6225,-0.1193
TCGA-AO-A0JD-01,-0.2398,0.5312,1.6132,2.3964,-0.5249,0.5451,-0.9953,0.6935,-1.1568,0.981,0.5435
TCGA-AO-A0JE-01,-0.8924,-0.9731,0.1335,0.3457,1.7377,-1.3311,0.7548,0.3937,1.1301,0.0331,-1.0237
TCGA-AO-A0JF-01,-0.314,0.392,-0.9872,-1.261,-0.11,0.5145,-1.1904,-0.9143,0.311,-1.1651,0.6656
TCGA-AO-A0JG-01,0.7025,1.2721,-2.0192,-2.3164,-0.2587,0.5024,-0.117,-1.1614,0.2113,-1.8702,-0.2985
TCGA-AO-A0JI-01,0.4163,1.1412,-0.1463,-0.1713,0.2227,0.8328,-0.2526,0.3821,-0.8805,0.0943,-0.6047
TCGA-AO-A0JJ-01,0.4285,0.4693,-0.3066,-0.424,-0.652,0.7657,-0.6266,0.1942,-1.1162,-0.6516,0.888
TCGA-AO-A0JL-01,-0.8083,-1.159,0.8356,1.16,0.739,-1.218,1.2302,0.3129,-1.2835,1.0331,-1.1929
TCGA-AO-A0JM-01,-0.4722,0.3818,-0.1423,0.7122,1.8509,0.0269,1.7622,0.7945,1.1239,0.6971,-0.5581
TCGA-AO-A124-01,-1.1874,-2.3617,0.7144,1.0217,-0.0248,-2.7114,0.1575,1.3101,-1.3196,0.2005,-1.9334
TCGA-AO-A125-01,0.1663,0.2593,-0.3034,-0.9528,-0.1991,1.0701,-0.161,-0.6129,-2.1564,-0.8439,1.5934
TCGA-AO-A126-01,0.5157,1.2084,0.3167,0.0419,-0.2037,-0.0897,-0.3303,-0.7224,0.5254,-0.317,-0.3857
TCGA-AO-A128-01,-0.8931,-1.2427,0.062,0.5838,-0.4047,-0.7785,-0.0554,1.3769,-1.6428,0.5441,-1.5819
TCGA-AO-A129-01,-0.0388,-1.124,1.0294,0.9861,-0.9626,-1.288,-0.1301,1.0577,0.2789,1.1875,-0.8666
TCGA-AO-A12A-01,1.4788,1.1649,-0.9432,-0.263,-0.2676,0.356,-0.213,-0.1699,-0.22,-0.3386,1.4015
